Year,housing_cpi,fuel_cpi,health_cpi,education_cpi,general_cpi
2013,70.41,108.54,106.77,107.69,110.01
2014,76.45,113.36,112.5,115.47,117.33
2015,80.11,119.02,118.21,123.11,123.04
2016,84.32,122.57,123.9,129.9,129.1
2017,89.12,129.28,128.94,136.19,133.39
2018,95.88,138.3,137.01,144.04,138.67
2019,100.51,138.78,146.92,153.74,144.13
2020,95.16,131.38,140.68,131.5,127.77
2021,107.66,158.71,165.13,162.54,161.42
2022,112.03,174.97,175.35,170.2,172.07
2023,115.72,181.92,183.57,175.49,177.21
